Rk,School,Overall G,Overall W,Overall L,Overall W-L%,OverallSRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Team,PPG,Points Opponent,OPPG,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
133,Iowa NCAA,33,22,11,0.667,17.01,8.71,12,6,13,2,6,5,2561,77.60606061,2287,69.3030303,1330,906,2027,0.447,269,719,0.374,480,669,0.717,392,1257,523,223,156,339,538
134,IPFW,34,24,10,0.706,0,-1.66,12,4,12,1,10,7,2701,79.44117647,2585,76.02941176,1370,932,2017,0.462,354,863,0.41,483,671,0.72,342,1230,512,190,112,417,588
135,IUPUI,32,13,19,0.406,-5.86,0.11,9,7,9,2,4,15,2181,68.15625,2362,73.8125,1290,785,1858,0.422,183,549,0.333,428,607,0.705,321,1105,355,213,81,426,651
136,Jackson State,36,20,16,0.556,-8.66,-9.54,12,6,11,2,7,13,2455,68.19444444,2352,65.33333333,1465,898,2208,0.407,243,781,0.311,416,659,0.631,474,1417,445,279,131,446,771
137,Jacksonville State,31,8,23,0.258,-10.26,-3.95,4,12,5,10,2,12,2100,67.74193548,2234,72.06451613,1245,721,1792,0.402,243,709,0.343,415,567,0.732,315,994,377,158,96,331,611
138,Jacksonville,32,16,16,0.5,-9.34,-6.09,8,6,12,3,4,11,2444,76.375,2431,75.96875,1290,866,1985,0.436,278,715,0.389,434,640,0.678,339,1218,402,207,85,366,592
139,James Madison,32,21,11,0.656,6.17,0.5,11,7,12,6,9,3,2405,75.15625,2197,68.65625,1305,830,1848,0.449,278,775,0.359,467,682,0.685,335,1247,406,139,97,380,612
140,Kansas State,33,17,16,0.515,12.31,9.79,5,13,12,5,2,9,2334,70.72727273,2251,68.21212121,1345,805,1876,0.429,175,583,0.3,549,798,0.688,437,1204,458,249,91,460,659
141,Kansas NCAA,38,33,5,0.868,23.87,11.22,15,3,16,0,7,3,3089,81.28947368,2570,67.63157895,1540,1092,2207,0.495,304,728,0.418,601,843,0.713,402,1443,604,253,158,478,719
142,Kennesaw State,31,11,20,0.355,-8.58,-1.61,7,7,8,6,3,14,2239,72.22580645,2399,77.38709677,1245,811,1826,0.444,179,508,0.352,438,625,0.701,322,1039,378,216,99,405,605
143,Kent State,32,19,13,0.594,-1.53,-1.47,10,8,13,3,6,8,2361,73.78125,2317,72.40625,1290,834,1871,0.446,185,564,0.328,508,744,0.683,405,1204,373,170,106,379,578
144,Kentucky NCAA,36,27,9,0.75,20.23,8.84,13,5,17,0,4,7,2861,79.47222222,2451,68.08333333,1455,1028,2149,0.478,244,666,0.366,561,813,0.69,451,1395,512,206,207,389,735
145,La Salle,31,9,22,0.29,-6.09,4.65,4,14,7,9,1,12,1987,64.09677419,2279,73.51612903,1240,690,1707,0.404,259,762,0.34,348,520,0.669,274,957,388,217,92,398,539
146,Lafayette,30,6,24,0.2,-15,-6,3,15,4,9,2,15,2142,71.4,2412,80.4,1235,758,1742,0.435,245,671,0.365,381,551,0.691,242,955,416,171,68,391,588
147,Lamar,30,11,19,0.367,-14.69,-8.77,3,15,7,9,4,10,2263,75.43333333,2310,77,1200,771,1819,0.424,197,617,0.319,524,781,0.671,415,1171,425,225,116,439,699
148,Lehigh,32,17,15,0.531,-4.42,-5.2,13,5,10,5,7,9,2268,70.875,2210,69.0625,1280,810,1777,0.456,237,604,0.392,411,565,0.727,307,1095,477,214,103,416,548
149,Liberty,32,13,19,0.406,-10.42,-3.73,10,8,8,6,5,9,2070,64.6875,2188,68.375,1280,738,1644,0.449,283,774,0.366,311,434,0.717,214,943,419,178,44,442,638
150,Lipscomb,33,12,21,0.364,-8.85,-3.81,7,7,6,9,5,9,2590,78.48484848,2689,81.48484848,1340,888,2017,0.44,331,921,0.359,483,695,0.695,335,1202,549,208,98,458,628
151,Long Beach State,35,20,15,0.571,4.09,4.57,12,4,11,2,6,10,2613,74.65714286,2568,73.37142857,1415,896,2077,0.431,287,783,0.367,534,776,0.688,371,1251,532,226,90,430,722
152,Long Island University,31,16,15,0.516,-11.79,-11.01,9,9,8,6,8,9,2362,76.19354839,2386,76.96774194,1255,813,1884,0.432,179,602,0.297,557,779,0.715,386,1173,432,238,87,422,652
153,Longwood,33,10,23,0.303,-11.42,-5.15,5,13,5,8,4,12,2397,72.63636364,2503,75.84848485,1330,860,1899,0.453,227,650,0.349,450,636,0.708,350,1197,421,205,91,474,624
154,Louisiana,34,19,15,0.559,2.62,-1.94,12,8,13,3,5,11,2706,79.58823529,2476,72.82352941,1370,931,2099,0.444,222,716,0.31,622,891,0.698,485,1410,433,218,123,425,634
155,Louisiana-Monroe,34,20,14,0.588,-0.18,-1.46,15,5,13,0,6,11,2471,72.67647059,2360,69.41176471,1390,896,1956,0.458,225,636,0.354,454,647,0.702,370,1233,481,198,113,411,596
156,Louisiana State,33,19,14,0.576,8.79,7,11,7,15,3,3,8,2602,78.84848485,2543,77.06060606,1330,915,1990,0.46,203,620,0.327,569,856,0.665,368,1231,507,263,90,394,609
157,Louisiana Tech,33,23,10,0.697,-0.07,-4.4,12,6,16,1,7,7,2624,79.51515152,2395,72.57575758,1345,915,1999,0.458,234,704,0.332,560,842,0.665,358,1257,463,247,142,412,597
158,Louisville,31,23,8,0.742,21.57,7.74,12,6,18,1,4,7,2324,74.96774194,1895,61.12903226,1240,866,1847,0.469,186,536,0.347,406,588,0.69,415,1183,419,222,149,353,597
159,Loyola (IL),32,15,17,0.469,-0.7,1.11,7,11,9,7,4,7,2059,64.34375,2082,65.0625,1295,722,1700,0.425,196,565,0.347,413,565,0.731,246,977,370,189,90,405,584
160,Loyola Marymount,31,14,17,0.452,-3.63,0.87,6,12,8,6,5,10,2208,71.22580645,2319,74.80645161,1265,796,1903,0.418,227,669,0.339,389,536,0.726,349,1047,482,211,90,352,631
161,Loyola (MD),30,9,21,0.3,-10.9,-5.24,8,10,5,9,4,12,2090,69.66666667,2260,75.33333333,1230,732,1702,0.43,161,530,0.304,465,653,0.712,334,1054,338,162,102,392,648
162,Maine,30,8,22,0.267,-17.39,-6.49,4,12,5,8,3,14,2279,75.96666667,2606,86.86666667,1215,825,1909,0.432,228,673,0.339,401,611,0.656,337,1055,433,249,90,491,638
163,Manhattan,31,13,18,0.419,-7.48,-3.12,9,11,8,6,4,11,2133,68.80645161,2268,73.16129032,1255,708,1644,0.431,232,643,0.361,485,655,0.74,242,916,436,238,71,442,672
