Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp.,School Advanced Pace,School Advanced ORtg,School Advanced FTr,School Advanced 3PAr,School Advanced TS%,School Advanced TRB%,School Advanced AST%,School Advanced STL%,School Advanced BLK%,School Advanced eFG%,School Advanced TOV%,School Advanced ORB%,School Advanced FT/FGA
213,North Carolina-Wilmington NCAA,33,25,8,0.758,6.25,0.35,14,4,12,2,8,5,2620,2379,71.3,110,0.373,0.332,0.546,50.6,47.2,10.3,11.2,0.512,13.5,32.2,0.262
214,North Carolina NCAA,40,33,7,0.825,23.44,10.69,14,4,15,1,6,5,3311,2801,70.2,118,0.323,0.268,0.561,55.9,57.3,9.6,11.5,0.526,12.7,40.3,0.241
215,North Dakota State,33,20,13,0.606,-0.93,-2.99,8,8,12,1,4,11,2271,2129,65.8,104.2,0.337,0.343,0.533,50.8,42.5,9.1,9.3,0.503,14,26.9,0.23
216,North Dakota,33,17,16,0.515,-3.68,-4.91,10,8,10,5,4,9,2474,2366,72.3,102.1,0.395,0.293,0.541,50.3,50.1,10.6,7.7,0.508,16,24.9,0.269
217,North Florida,34,22,12,0.647,-1.41,-3.92,10,4,14,3,7,9,2865,2704,72.4,116.4,0.302,0.485,0.607,47.1,55.9,7.2,10.4,0.584,14,25.2,0.22
218,North Texas,32,12,20,0.375,-9.83,-3.23,7,11,11,7,1,12,2386,2505,71.9,103.3,0.456,0.308,0.534,49.6,43.6,9.1,7.9,0.502,16.5,30.3,0.293
219,Northeastern,33,18,15,0.545,1.6,1.35,9,9,7,7,8,7,2376,2339,66,105.4,0.389,0.426,0.555,48.9,61.2,9,8.5,0.518,16,26.3,0.279
220,Northern Arizona,30,5,25,0.167,-18.29,-2.83,3,15,4,9,1,15,2054,2438,71,94.5,0.354,0.372,0.503,45.8,53.2,8.5,5.4,0.463,16,22.8,0.249
221,Northern Colorado,31,10,21,0.323,-12.22,-4.01,7,11,7,9,3,10,2292,2482,69.9,105.8,0.421,0.316,0.553,50.1,41,8.2,7.6,0.511,17.1,30.1,0.306
222,Northern Illinois,34,21,13,0.618,-0.46,-1.2,9,9,18,1,3,10,2463,2285,69.3,103.8,0.402,0.346,0.525,52.9,56.1,10.5,10.7,0.488,15.5,32.9,0.275
223,Northern Iowa NCAA,36,23,13,0.639,8.78,4.44,11,7,11,3,6,8,2475,2303,64.1,106.2,0.34,0.427,0.572,46.8,50.5,8.8,7.7,0.535,14.2,17.6,0.257
224,Northern Kentucky,30,9,21,0.3,-6.87,-0.69,5,13,7,7,2,13,2116,2233,69.4,100.8,0.317,0.382,0.535,49.1,58.1,6.8,7.6,0.507,17,27,0.216
225,Northwestern State,28,8,20,0.286,-15.74,-5.66,5,13,6,7,2,13,2224,2413,75.2,105.6,0.369,0.342,0.561,45.5,56.2,8.3,7.4,0.517,17,28.7,0.283
226,Northwestern,32,20,12,0.625,10.16,4.12,8,10,14,4,5,6,2304,2111,64.4,109.7,0.284,0.417,0.546,51.4,63,5.9,10.7,0.525,13.6,30.5,0.189
227,Notre Dame NCAA,36,24,12,0.667,14.1,9.57,11,7,14,2,5,5,2704,2541,65,115.2,0.329,0.343,0.573,51.1,49.4,8.4,10.1,0.54,13.2,32.3,0.244
228,Oakland,35,23,12,0.657,6.3,-1.61,13,5,8,4,11,5,3023,2746,74.8,115.1,0.418,0.363,0.577,51.6,54.4,8.2,7.9,0.531,13.2,31.1,0.322
229,Ohio State,35,21,14,0.6,9.39,7.08,11,7,15,6,4,6,2462,2381,67.7,102.5,0.36,0.328,0.527,51.3,45.3,7.9,14,0.494,16.2,30.3,0.246
230,Ohio,35,23,12,0.657,1.9,-1.18,11,7,16,3,5,6,2746,2617,70.4,110.7,0.381,0.385,0.583,51.1,52,6.3,9.2,0.544,15,24.8,0.289
231,Oklahoma State,32,12,20,0.375,8.18,8.81,3,15,8,8,1,9,2128,2148,65,101.1,0.383,0.366,0.527,49.1,53.8,8.5,11.6,0.483,16.6,28.8,0.279
232,Oklahoma NCAA,37,29,8,0.784,19.76,11.14,12,6,14,1,7,5,2948,2629,71,111,0.33,0.407,0.573,51.4,52.8,9.3,12.6,0.543,15.8,31,0.238
233,Old Dominion,38,25,13,0.658,4.66,-2.31,12,6,11,4,7,6,2604,2339,62.8,108.4,0.31,0.237,0.51,54.5,51.2,9.2,11.8,0.479,11.9,36.5,0.211
234,Oral Roberts,31,14,17,0.452,-2.69,0.59,6,10,8,4,4,12,2356,2384,71.2,106.4,0.365,0.282,0.551,50.2,46.2,7.3,10.3,0.51,14.9,28,0.273
235,Oregon State NCAA,32,19,13,0.594,10.39,9.26,9,9,12,3,4,7,2301,2244,68.4,105.1,0.373,0.319,0.53,48.3,53.3,10.8,9.7,0.499,14.3,29.2,0.25
236,Oregon NCAA,38,31,7,0.816,18.05,8.64,14,4,18,0,5,5,2990,2614,69.5,112.8,0.406,0.34,0.562,52.4,49.7,10.4,15.3,0.525,13.9,34.2,0.291
237,Pacific,28,8,20,0.286,-3.57,2.35,6,12,6,8,2,11,1948,2009,67.8,100.8,0.369,0.369,0.532,50.6,52.8,6.5,7.3,0.5,17.3,29,0.249
238,Penn State,32,16,16,0.5,3.17,6.95,7,11,11,4,3,8,2107,2228,66.2,98.7,0.345,0.37,0.503,49,44,7.8,12.5,0.466,14.7,28.7,0.24
239,Pennsylvania,28,11,17,0.393,-6.18,-2.15,5,9,9,6,2,11,1911,2013,68.3,99,0.316,0.409,0.517,49.3,55.6,7.6,6.6,0.489,16.8,28.5,0.212
240,Pepperdine,32,18,14,0.563,2.33,1.68,10,8,10,3,6,8,2349,2287,68.3,105.9,0.405,0.252,0.529,50.7,54.4,8.4,7.4,0.495,13.9,30.4,0.272
241,Pittsburgh NCAA,33,21,12,0.636,15.47,8.75,9,9,15,4,3,6,2476,2220,66.4,112.2,0.357,0.307,0.551,55.2,62.3,7.3,10,0.511,14.6,36.9,0.269
242,Portland State,31,13,18,0.419,-8.15,-5.94,8,10,8,6,4,11,2408,2409,73.2,106.1,0.339,0.273,0.545,49.2,58,11.6,8.9,0.521,15,29.3,0.223
243,Portland,32,12,20,0.375,-2.21,0.56,6,12,8,7,3,9,2483,2552,72.7,106.3,0.315,0.391,0.537,47.9,49,8.9,10.4,0.503,14.4,30.6,0.228
244,Prairie View,31,7,24,0.226,-17.43,-6.82,7,11,4,6,3,16,1873,2202,68.9,87.6,0.365,0.27,0.462,46.1,40.9,11.2,7.6,0.417,18.7,30.7,0.25
245,Presbyterian,31,11,20,0.355,-13.38,-4.98,5,13,7,8,3,11,2093,2259,69.8,96.4,0.353,0.288,0.514,48.4,46.4,9.5,5.9,0.475,17.8,27.4,0.251
246,Princeton,29,22,7,0.759,7.17,-1.72,12,2,13,0,9,6,2294,1989,69.4,112.5,0.336,0.427,0.573,52,53.9,10.1,8.6,0.546,14.2,28.8,0.239
247,Providence NCAA,35,24,11,0.686,11.94,8.46,10,8,13,4,7,4,2577,2455,69.8,104.4,0.373,0.371,0.523,49.4,62.4,9.3,8.9,0.48,13.9,30.3,0.27
248,Purdue NCAA,35,26,9,0.743,20.17,7.46,12,6,17,1,5,5,2726,2281,67.9,113.5,0.354,0.358,0.571,57.3,64.1,6.1,11.7,0.536,14.9,34.5,0.263
249,Quinnipiac,30,9,21,0.3,-10.38,-4.98,6,14,6,8,3,11,1969,2131,69.8,92.9,0.28,0.354,0.458,53.5,54,6.9,11.8,0.428,17.6,38.4,0.181
250,Radford,31,16,15,0.516,-5.17,-3.45,9,9,8,6,7,7,2266,2248,67.6,105.6,0.287,0.349,0.529,52.2,48.6,8.5,10.9,0.508,16.3,35.4,0.187
251,Rhode Island,32,17,15,0.531,7.92,3.29,9,9,13,4,3,9,2220,2072,65.1,105.4,0.376,0.331,0.535,51.9,50,8.1,13.5,0.504,15.1,30.6,0.251
252,Rice,32,12,20,0.375,-8.8,-2.7,7,11,9,8,3,11,2427,2576,71.4,105.8,0.43,0.398,0.56,47.9,51.5,8.9,7.2,0.516,16.2,26.9,0.319
253,Richmond,32,16,16,0.5,7.28,4.56,7,11,9,7,5,7,2450,2363,68.8,110,0.353,0.365,0.568,46.2,59.7,9.4,5.9,0.547,13.2,23.2,0.233
254,Rider,33,13,20,0.394,-5,-3.6,8,12,7,6,4,12,2177,2223,65.6,99,0.354,0.359,0.517,49.9,54.1,8.6,10.9,0.483,16.7,28.6,0.241
255,Robert Morris,32,10,22,0.313,-13.53,-7.75,8,10,4,8,5,14,2082,2267,69.4,93.4,0.356,0.362,0.5,45.4,54,11.9,10.8,0.466,17.9,26,0.237
256,Rutgers,32,7,25,0.219,-7.06,6.43,1,17,7,11,0,11,2166,2571,71.3,93.9,0.341,0.268,0.496,45.5,48,8.5,8.3,0.461,16.9,26,0.232
257,Sacramento State,31,14,17,0.452,-8.63,-5.32,6,12,10,5,3,11,2210,2237,69.2,102.6,0.351,0.346,0.531,48.5,54.9,8.1,11.3,0.501,15,27,0.236
258,Sacred Heart,30,12,18,0.4,-13.01,-9.05,11,7,6,5,5,13,2217,2336,72.2,101.6,0.387,0.303,0.522,50.3,46.2,8.7,6.5,0.484,17.2,33.4,0.266
259,Saint Francis (PA),30,13,17,0.433,-12.57,-9.06,9,9,8,6,5,11,2110,2181,67.6,103.2,0.389,0.357,0.524,50.7,49.7,6.8,8.4,0.485,15.8,32.3,0.271
260,Saint Joseph's NCAA,36,28,8,0.778,12.1,4.93,13,5,12,4,10,2,2780,2522,70.2,109.6,0.374,0.356,0.548,51.9,54.7,7.3,9.2,0.512,12.3,27.9,0.268
261,Saint Louis,32,11,21,0.344,-2.73,3.49,5,13,7,11,3,8,2106,2305,69.4,94.1,0.378,0.352,0.517,46.6,58.8,7.8,6.2,0.477,17.6,20.7,0.266
262,Saint Mary's (CA),35,29,6,0.829,13.6,1.24,15,3,20,1,7,4,2576,2132,62.3,118.1,0.286,0.396,0.601,53.9,61.3,7.7,8.9,0.584,13.5,30.2,0.197
263,Saint Peter's,30,14,16,0.467,-5,-4.3,12,8,9,5,5,10,1966,1987,66.4,97.8,0.351,0.337,0.508,52.1,51,8.2,9.3,0.477,16.8,30.5,0.231
264,Sam Houston State,34,18,16,0.529,-6.06,-6.5,12,6,10,5,6,9,2551,2427,69.8,106.6,0.381,0.385,0.537,52.2,65.6,7.9,5.2,0.501,14.4,29.8,0.266
265,Samford,33,14,19,0.424,-5.94,-4.49,4,14,6,7,5,11,2440,2442,69.7,104.1,0.43,0.295,0.546,49.7,51.5,9.6,9.7,0.503,16.9,30.5,0.309
266,San Diego State,38,28,10,0.737,11.89,4.33,16,2,16,4,9,2,2605,2303,66.2,102.9,0.425,0.327,0.516,53.8,45.8,8.3,15,0.474,15.6,34.1,0.292
267,San Diego,30,9,21,0.3,-7.78,1.42,4,14,6,7,1,11,1822,2074,66.6,91.2,0.346,0.417,0.485,47.9,52.1,7,10.6,0.45,17.9,26.5,0.229
268,San Francisco,30,15,15,0.5,-2.92,-0.68,8,10,10,7,5,7,2329,2362,70.8,107.8,0.385,0.358,0.535,51.9,45.9,7.5,7.9,0.503,14.8,33.9,0.261
269,San Jose State,31,9,22,0.29,-5.79,1.35,4,14,7,7,1,13,2186,2290,71.3,98.4,0.393,0.387,0.517,49.9,59.4,8.4,10.3,0.483,16.9,28.6,0.259
270,Santa Clara,31,11,20,0.355,-4.67,1.86,7,11,7,8,3,9,2083,2272,66.4,99.2,0.34,0.388,0.515,47.8,53.7,6.4,7.7,0.476,14.8,25.4,0.244
271,Savannah State,32,16,16,0.5,-15.39,-8.59,9,7,12,3,2,12,1992,2167,68.2,90.9,0.407,0.384,0.495,47,49.5,9.2,7.6,0.456,19,26.1,0.268
272,Seattle,32,15,17,0.469,-9.62,-5.02,7,7,10,8,3,8,2074,2140,67.3,96,0.353,0.318,0.513,51.8,56.5,8.9,4.9,0.481,20,33,0.235
273,Seton Hall NCAA,34,25,9,0.735,14.66,8.28,12,6,13,3,7,4,2522,2305,70.7,104.5,0.404,0.297,0.529,52.4,51,10.4,11.4,0.498,16.4,34.7,0.266
274,Siena,34,21,13,0.618,1.73,-3.19,13,7,12,3,7,9,2659,2492,71,108.1,0.408,0.294,0.559,55.4,53,8.5,11.6,0.52,18.7,39,0.294
275,South Alabama,33,14,19,0.424,-8.18,-2.02,8,12,8,6,4,11,2284,2426,70.3,96.7,0.39,0.344,0.503,49.3,44.6,9.4,10.6,0.465,17.5,31.2,0.262
276,South Carolina State,34,19,15,0.559,-9.99,-8.24,12,4,10,1,6,12,2485,2485,68.8,106.2,0.366,0.301,0.541,49,48.8,6.7,7.8,0.504,14.8,29.2,0.263
277,South Carolina Upstate,32,10,22,0.313,-13.78,-4.39,4,10,7,10,3,12,2315,2495,69.1,103.9,0.308,0.334,0.528,51.1,56.3,7.9,8.9,0.506,17,34.3,0.197
278,South Carolina,34,25,9,0.735,12.01,5.83,11,7,16,3,5,5,2583,2357,71.4,105.6,0.433,0.301,0.525,54,52.3,9.4,13.1,0.485,15.9,37.5,0.296
