Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Team,Points Opponent,Opponent Pace,Opponent ORtg,Opponent FTr,Opponent 3PAr,Opponent TS%,Opponent TRB%,Opponent AST%,Opponent STL%,Opponent BLK%,Oppone t eFG%,Opponent TOV%,Opponent ORB%,Opponent Advanced FT/FGA
21,Ball State,34,21,13,0.618,-1.45,-3.57,11,7,11,5,7,7,2677,2567,72.7,102.4,0.352,0.358,0.524,48.8,46.9,9.8,9.5,0.486,15.1,28.2,0.253
22,Baylor NCAA,35,27,8,0.771,19.75,11.87,12,6,15,2,6,4,2550,2228,65.3,97.5,0.299,0.351,0.498,43.5,58.2,8.3,9.6,0.462,15.1,28.6,0.213
23,Belmont,30,23,7,0.767,4.28,-1.69,15,1,12,1,11,4,2302,2078,69,100,0.321,0.321,0.518,47.9,45.8,8.2,10.8,0.478,14.5,24.7,0.239
24,Bethune-Cookman,32,10,22,0.313,-19.44,-11.21,6,10,7,7,2,13,2275,2490,70.1,108.1,0.388,0.356,0.557,53,59.6,8.1,9.4,0.529,17.3,35,0.261
25,Binghamton,32,12,20,0.375,-11.99,-5.79,3,13,7,7,4,13,2175,2270,67.4,104.8,0.317,0.379,0.544,51.4,55,8.6,9,0.518,15.2,26.8,0.216
26,Boise State,32,20,12,0.625,5.52,2.72,12,6,11,3,8,7,2404,2278,70.4,101.1,0.412,0.3,0.525,48.7,48.8,8.5,13.7,0.477,14.8,26.3,0.3
27,Boston College,32,9,23,0.281,2.2,8.08,2,16,8,10,0,9,2320,2508,72.5,108.1,0.396,0.352,0.574,49.8,58,10.6,10,0.532,15.4,24.1,0.299
28,Boston University,32,18,14,0.563,-2.43,-3.66,12,6,11,5,6,9,2339,2264,69.9,99.6,0.365,0.417,0.533,49.9,57.3,9.9,9.7,0.501,18.2,27.9,0.25
29,Bowling Green State,32,13,19,0.406,-6,-2,7,11,10,7,3,12,2355,2453,72.7,104.3,0.337,0.357,0.559,51.2,47.8,8.5,9.6,0.525,17.7,28,0.245
30,Bradley,33,13,20,0.394,-2.84,2.94,7,11,8,7,3,10,2163,2333,68.6,102.6,0.403,0.391,0.528,50.8,58.5,11.3,9.3,0.485,16.4,29.5,0.289
31,Brigham Young,34,22,12,0.647,8.22,1.87,12,6,14,4,5,4,2741,2525,75.6,98.2,0.311,0.389,0.506,46.5,53.4,9.2,7.3,0.48,14.3,24.9,0.201
32,Brown,30,13,17,0.433,-8.55,-4.08,4,10,9,7,4,8,2275,2338,72.1,108,0.373,0.369,0.595,52.2,53.4,9.7,12.8,0.567,19.4,29.6,0.267
33,Bryant,32,12,20,0.375,-9.69,-5.43,9,9,9,5,2,15,2373,2478,70,107.7,0.374,0.37,0.552,50.6,50.2,8.6,9.7,0.513,15.4,30.4,0.275
34,Bucknell NCAA,35,26,9,0.743,5.89,-2.48,15,3,14,2,9,6,2669,2376,70.7,96.1,0.331,0.313,0.509,49.4,49.3,9.9,8.7,0.48,17.3,27.8,0.218
35,Buffalo,32,17,15,0.531,0.92,-1.01,11,7,8,4,8,7,2486,2375,73.1,101.1,0.424,0.351,0.516,46.9,51,8.7,8.7,0.476,15.1,28.5,0.289
36,Butler NCAA,34,25,9,0.735,17.7,10.23,12,6,13,3,7,4,2595,2341,67.3,101.6,0.37,0.377,0.542,49.4,44.7,7.4,7.3,0.508,17.3,26.7,0.258
37,Cal Poly,31,11,20,0.355,-10.71,-4.22,6,10,6,6,5,11,2082,2242,66.7,107.5,0.392,0.278,0.557,53.5,50.2,7.1,9,0.521,15.6,29.9,0.281
38,Cal State Bakersfield,35,25,10,0.714,3.21,-1.94,12,2,12,1,11,6,2502,2235,69.6,90.1,0.464,0.407,0.489,47.7,55.3,8.6,8.5,0.436,20.3,29.8,0.321
39,Cal State Fullerton,32,17,15,0.531,-7.55,-6.85,10,6,12,4,4,8,2351,2280,70.8,97.9,0.4,0.351,0.526,47.8,49.8,8.4,8.6,0.481,17.4,25.8,0.289
40,Cal State Northridge,30,11,19,0.367,-8.34,-4.13,7,9,7,7,4,8,2341,2440,74.6,109,0.415,0.295,0.556,51,49,8.1,7.9,0.517,15.1,31,0.299
41,UC-Davis NCAA,36,23,13,0.639,-5.21,-4.68,11,5,11,0,6,9,2525,2506,70.2,98.1,0.319,0.368,0.522,49.2,53.9,9.7,8.9,0.487,17.3,27.5,0.228
42,UC-Irvine,36,21,15,0.583,0.18,-2.7,12,4,11,2,8,9,2514,2331,67.1,95.8,0.388,0.335,0.484,45.5,52.2,8.3,7.3,0.437,13.6,25.5,0.271
43,UC-Riverside,29,8,21,0.276,-11.39,-3.87,5,11,5,8,3,12,1895,2016,69.7,99.3,0.337,0.399,0.523,51.1,57.9,7.9,7.3,0.485,17.1,28.1,0.245
44,UC-Santa Barbara,28,6,22,0.214,-13.49,-2,4,12,5,8,1,12,1701,1987,66.2,106.7,0.319,0.444,0.549,50.5,64,8.1,7.8,0.522,15.3,29,0.221
45,University of California,34,21,13,0.618,11.11,6.34,10,8,15,4,3,6,2316,2154,66.3,94.2,0.342,0.325,0.489,45.3,51.5,7.1,9.9,0.453,14.7,23.9,0.231
46,Campbell,37,19,18,0.514,-9.68,-7.59,7,11,11,8,6,9,2653,2605,67.7,103.3,0.386,0.353,0.535,50.7,51.5,10.1,7.7,0.495,15.4,27.2,0.276
47,Canisius,34,18,16,0.529,-2.82,-3.5,10,10,7,7,9,8,2665,2642,71.4,108,0.338,0.338,0.576,51.7,48.6,7.8,9.1,0.545,18.1,32.2,0.247
48,Central Arkansas,32,8,24,0.25,-13.04,-3.76,7,11,5,6,3,16,2395,2692,72.2,115.2,0.32,0.439,0.575,51.2,63.3,8.8,7.4,0.551,13.5,31.7,0.223
49,Central Connecticut State,29,6,23,0.207,-17.51,-7.68,4,14,3,9,3,14,1827,2112,66.5,108.6,0.346,0.383,0.566,51.5,55.3,9.4,9.5,0.54,17.4,32.4,0.238
50,Central Florida,36,24,12,0.667,9.58,3.69,11,7,15,3,6,6,2414,2202,66.2,92.1,0.223,0.401,0.458,44.4,60.9,9.7,9,0.427,12.7,25.5,0.158
51,Central Michigan,32,16,16,0.5,-5.76,-2.63,6,12,10,5,5,9,2826,2807,77.8,111.5,0.31,0.367,0.551,52.3,45.6,7.5,10.5,0.523,13.5,32.5,0.216
52,Charleston Southern,31,12,19,0.387,-12.28,-6.21,7,11,9,6,3,12,2304,2343,69.7,107.1,0.405,0.384,0.57,49.9,54,7.1,9.4,0.53,16,26.1,0.299
53,Charlotte,30,13,17,0.433,-5.24,-0.93,7,11,10,5,3,9,2295,2407,74.4,107.4,0.353,0.304,0.554,55.2,46.9,8.5,8.5,0.523,16,31,0.247
54,Chattanooga,31,19,12,0.613,1.1,-2.08,10,8,11,3,7,7,2314,2132,68.1,100.6,0.363,0.304,0.541,50.9,48.8,9.2,10.1,0.497,19,32.2,0.274
55,Chicago State,32,6,26,0.188,-16.67,-0.19,1,13,3,7,2,17,2089,2511,70.3,109.8,0.355,0.447,0.574,53.2,64.9,8.5,10,0.546,16.6,30.2,0.251
56,Cincinnati NCAA,36,30,6,0.833,18.43,5.49,16,2,18,0,8,3,2674,2208,65.1,93.6,0.291,0.37,0.491,46.7,52.8,5.5,8.4,0.452,17.4,29.2,0.214
57,Citadel,33,12,21,0.364,-12.86,-2.93,4,14,8,8,3,12,2964,3121,82.6,113.2,0.412,0.337,0.604,54.1,56.6,8.6,11.3,0.577,18.3,34.3,0.29
58,Clemson,33,17,16,0.515,13.22,9.98,6,12,11,6,3,7,2468,2361,67.7,105.2,0.242,0.369,0.549,50.7,48.5,7.5,8.8,0.519,17.3,32.2,0.185
59,Cleveland State,31,9,22,0.29,-6.73,-1.53,5,13,5,6,2,14,2083,2222,68.8,102.6,0.406,0.36,0.553,53,60.1,7.2,9.3,0.52,19.4,32.1,0.278
60,Coastal Carolina,39,20,19,0.513,-3.94,-1.48,10,8,15,6,3,12,2833,2858,71,102.6,0.32,0.468,0.529,48,52.3,8.3,9,0.496,14.8,26.1,0.226
61,Colgate,32,10,22,0.313,-8.47,-3.6,8,10,4,8,6,12,2145,2273,66.4,104.9,0.381,0.388,0.556,50.3,53.6,11,10.4,0.524,15.7,25.4,0.264
62,College of Charleston,35,25,10,0.714,3.99,-0.19,14,4,12,2,10,5,2416,2260,65.6,98.1,0.315,0.383,0.506,50.9,48.3,5.9,9.7,0.478,16.2,28.8,0.209
63,Colorado State,36,24,12,0.667,6.03,2.17,13,5,15,5,7,5,2611,2447,68.1,99.9,0.313,0.406,0.504,48.1,48.6,8.1,8.3,0.471,14.7,28.7,0.215
64,Colorado,34,19,15,0.559,9.12,6,8,10,13,4,4,9,2568,2455,69,103.9,0.335,0.381,0.535,47.9,49.5,8.1,10.3,0.502,15.1,28,0.237
65,Columbia,27,11,16,0.407,-5.67,-3.13,5,9,7,6,4,10,1940,1964,69.5,103.8,0.345,0.448,0.544,51.5,62,8.3,9.7,0.514,17.6,31.2,0.236
66,Connecticut,33,16,17,0.485,7.23,6.61,9,9,8,6,4,8,2220,2189,65.4,100.7,0.316,0.398,0.496,49.1,53.3,9.2,7.9,0.459,13.7,30.1,0.222
67,Coppin State,32,8,24,0.25,-21.51,-8.01,7,9,5,6,3,16,2119,2521,70.5,110.8,0.402,0.394,0.57,53.7,52.8,8.2,9.6,0.539,16.4,32.9,0.281
68,Cornell,29,8,21,0.276,-8.4,-1.55,4,10,3,8,4,12,2074,2238,71.3,107.7,0.314,0.342,0.55,51.3,50.2,10.6,10.9,0.517,13.7,26.8,0.232
69,Creighton NCAA,35,25,10,0.714,17.27,8.95,10,8,13,4,7,4,2864,2549,72.9,100,0.288,0.368,0.525,50.7,48.1,9.2,7.5,0.498,16.8,28.9,0.199
70,Dartmouth,27,7,20,0.259,-11.15,-3.45,4,10,3,9,4,11,1812,2020,68.2,109.1,0.307,0.357,0.56,49.5,43.8,9.9,14.1,0.532,14,26.9,0.218
71,Davidson,32,17,15,0.531,6.45,4.26,8,10,8,5,5,7,2362,2292,69.5,102.3,0.334,0.337,0.528,50.4,51.5,9.6,10.8,0.497,15,26.9,0.23
72,Dayton NCAA,32,24,8,0.75,12.98,4.27,15,3,15,1,7,3,2428,2126,69.4,95.3,0.349,0.394,0.515,50.3,55.3,6.2,10.6,0.477,18.8,27.6,0.247
73,Delaware State,32,10,22,0.313,-18.81,-9.37,7,9,4,7,6,14,2186,2399,68.4,108.3,0.377,0.427,0.557,53.8,59.8,9.3,9.2,0.521,17.5,35.6,0.273
74,Delaware,33,13,20,0.394,-9.97,-1.42,5,13,9,5,3,12,2157,2381,66.1,108.7,0.39,0.423,0.551,49.9,59.4,8.6,9.9,0.523,13.2,26.8,0.261
75,Denver,30,16,14,0.533,-2.99,-4.19,8,8,8,5,7,8,2275,2239,69,107.3,0.391,0.388,0.555,46.9,46.2,9.9,8.9,0.514,13.8,24.7,0.289
76,DePaul,32,9,23,0.281,2.09,7.78,2,16,8,10,1,9,2206,2388,69,107.8,0.402,0.402,0.575,51,60.7,9.2,8.5,0.538,17.6,30,0.293
77,Detroit Mercy,31,8,23,0.258,-10.72,-1.62,6,12,5,9,3,13,2387,2630,74.3,112.8,0.477,0.371,0.599,52.9,51,8.6,10.2,0.57,17.2,31.1,0.33
78,Drake,31,7,24,0.226,-4.71,1.91,5,13,6,9,1,11,2208,2390,70,108.8,0.306,0.374,0.556,52.5,49.7,9.6,12,0.53,15.2,30.8,0.212
79,Drexel,32,9,23,0.281,-7.43,-2.56,3,15,5,8,4,14,2397,2508,71.4,108.1,0.389,0.36,0.557,50.2,51,8.9,9,0.526,15.3,29.9,0.269
80,Duke NCAA,37,28,9,0.757,21.56,10.91,11,7,15,1,4,6,2991,2597,69.9,100.5,0.312,0.288,0.51,48.1,46.6,6.8,6.7,0.475,14.9,29.6,0.222
81,Duquesne,32,10,22,0.313,-3.06,0.69,3,15,8,10,1,10,2256,2376,71,104.6,0.333,0.343,0.533,50.6,60.5,8.3,13.1,0.499,15.2,30.2,0.235
82,East Carolina,33,15,18,0.455,-0.49,1.33,6,12,12,5,1,11,2088,2148,66.8,97.5,0.272,0.34,0.483,49.6,53.2,9.8,9.7,0.447,14.4,31,0.197
83,East Tennessee State NCAA,35,27,8,0.771,7.31,-2.11,14,4,13,2,8,5,2782,2438,71.4,96.6,0.372,0.394,0.528,46.9,47.3,9.6,9.9,0.487,19.2,27.2,0.268
84,Eastern Illinois,29,14,15,0.483,-5.35,-5.05,6,10,8,6,6,9,2169,2083,70.5,98.9,0.385,0.334,0.528,51,51.9,8.1,8,0.49,18.9,31,0.27
85,Eastern Kentucky,31,12,19,0.387,-8.65,-2.44,5,11,8,6,3,12,2197,2330,69.7,105.8,0.415,0.362,0.55,53.2,55.7,10.3,9.3,0.507,16.8,32.2,0.303
86,Eastern Michigan,33,16,17,0.485,-0.18,0.16,7,11,10,6,5,10,2566,2409,71.2,101.7,0.475,0.399,0.537,50.1,64.5,9.1,6,0.488,19.2,34,0.341
87,Eastern Washington,34,22,12,0.647,-2.77,-4.43,13,5,15,1,6,10,2695,2592,68,108.1,0.361,0.36,0.545,49.1,51.7,9.1,7.4,0.508,13.1,27.9,0.259
88,Elon,32,18,14,0.563,0.24,-1.39,10,8,10,4,6,8,2403,2292,69.2,101.2,0.263,0.395,0.512,49.8,42.1,8.4,9.6,0.483,13.6,26.3,0.186
89,Evansville,33,16,17,0.485,1.45,2.42,6,12,13,4,2,9,2288,2261,67,101.1,0.396,0.397,0.529,49.4,55.4,8.1,11,0.488,16.4,27.2,0.279
90,Fairfield,31,16,15,0.516,-4.75,-3.85,11,9,7,6,8,8,2251,2279,71.7,101.7,0.32,0.335,0.523,51.5,47.2,8.9,7.1,0.495,15.3,28.1,0.216
91,Fairleigh Dickinson,30,11,19,0.367,-9.28,-5.31,9,9,7,4,3,14,2183,2250,70.2,106.4,0.431,0.347,0.548,52.7,56.8,8.7,6.9,0.511,16.7,33.3,0.299
92,Florida A&M,30,7,23,0.233,-20.88,-11.85,5,11,4,10,3,11,2153,2365,72.2,107.4,0.341,0.407,0.555,54.3,51.7,9.2,6.6,0.529,16.7,33.4,0.231
93,Florida Atlantic,30,10,20,0.333,-7.95,-1.98,6,12,5,9,5,8,2108,2221,70.2,104.2,0.352,0.292,0.537,52.7,42.4,8.3,7.7,0.504,15.9,30.6,0.245
94,Florida Gulf Coast NCAA,34,26,8,0.765,2.26,-3.42,12,2,16,3,10,3,2701,2356,69.3,99.3,0.349,0.388,0.517,46.1,49.6,8.8,7.1,0.484,16.2,28.1,0.238
95,Florida International,31,7,24,0.226,-8.1,-3.27,3,15,6,9,1,13,2178,2282,66.5,108,0.357,0.348,0.561,48.8,52.7,9.7,9.8,0.527,15,27.8,0.259
96,Florida State NCAA,35,26,9,0.743,18.87,8.87,12,6,18,0,3,6,2873,2523,72.6,99.3,0.373,0.361,0.52,47.3,49.5,6.9,7.1,0.479,16.9,29.5,0.267
97,Florida NCAA,36,27,9,0.75,22.4,11.01,14,4,9,1,8,4,2804,2394,70.1,93.9,0.341,0.314,0.498,48.7,40.9,7.8,7.5,0.458,18.1,29.1,0.241
98,Fordham,32,13,19,0.406,-1.97,1.36,7,11,8,9,5,8,2090,2167,66.8,99.9,0.428,0.384,0.568,55.7,65.7,9.6,11.4,0.531,22.7,31,0.306
99,Fresno State,33,20,13,0.606,4.37,2.31,11,7,13,2,6,10,2426,2315,70.1,97.8,0.446,0.381,0.526,49.4,53.6,8.3,8,0.479,18.1,27,0.316
100,Furman,35,23,12,0.657,1.46,-3.75,14,4,11,3,12,8,2590,2319,67.4,97.6,0.336,0.41,0.522,48.3,51.5,8.8,7.2,0.488,17.6,26,0.235
101,Gardner-Webb,33,19,14,0.576,-3.08,-5.71,11,7,9,5,8,8,2546,2319,71.4,96.6,0.397,0.355,0.518,47.2,56.9,9,8.9,0.479,18.1,27.3,0.273
102,George Mason,34,20,14,0.588,3.01,1.28,9,9,10,7,7,5,2519,2437,69.2,101.8,0.281,0.366,0.514,45,51.9,8.6,9.7,0.485,12.7,24,0.196
103,George Washington,35,20,15,0.571,2.37,2.11,10,8,14,3,5,8,2447,2438,67,103.9,0.269,0.324,0.532,47,56.1,10.4,9.5,0.502,14.2,26.1,0.195
104,Georgetown,32,14,18,0.438,11.18,9.31,5,13,9,8,3,7,2369,2309,70.2,102,0.388,0.324,0.515,49.4,50,9.8,9.5,0.474,14.9,30.3,0.272
105,Georgia Southern,33,18,15,0.545,-3.63,-2.83,11,7,10,4,6,11,2492,2420,70.5,103.6,0.34,0.411,0.531,53.2,51.7,6.8,10,0.503,16.5,32.4,0.227
106,Georgia State,33,20,13,0.606,-0.33,-2.17,12,6,11,3,6,9,2442,2312,70.3,99.2,0.398,0.459,0.527,48.4,58,8.7,7.5,0.485,17.8,28.6,0.283
107,Georgia Tech,37,21,16,0.568,7.82,8.21,8,10,16,4,3,10,2496,2472,69.3,96.1,0.273,0.369,0.491,50.2,55.2,9.8,9.3,0.459,16.1,30.6,0.191
108,Georgia,34,19,15,0.559,11.13,10.28,9,9,12,6,5,7,2435,2393,69.7,100.2,0.342,0.363,0.509,48.5,47.2,9.1,8.7,0.472,14.6,28.2,0.239
109,Gonzaga NCAA,39,37,2,0.949,25.26,4.13,17,1,15,1,10,0,3222,2398,70.9,86.7,0.269,0.321,0.443,45.3,43.2,7.6,7.8,0.411,14.9,25.8,0.177
110,Grambling,33,16,17,0.485,-17.29,-11.89,10,8,11,2,4,12,2361,2412,69.8,103.2,0.418,0.375,0.571,52.4,55.4,8.5,8.4,0.543,21.3,33.6,0.283
111,Grand Canyon,31,22,9,0.71,-0.16,-4.22,11,3,15,3,5,6,2282,2103,71.2,94.5,0.301,0.35,0.51,49.1,49.5,9.2,8.3,0.478,18.4,27,0.21
112,Green Bay,32,18,14,0.563,-2.77,-2.83,12,6,10,3,7,9,2565,2479,76.8,99.7,0.323,0.383,0.528,48.8,51,7.9,6.8,0.501,17.1,28,0.215
113,Hampton,31,14,17,0.452,-13.23,-9.92,11,5,9,4,5,11,2149,2219,70.9,100.2,0.424,0.352,0.534,49.3,44.3,7.9,8.1,0.498,17.9,28.7,0.288
114,Hartford,32,9,23,0.281,-15.85,-5.56,4,12,6,8,3,15,2136,2465,70,108.8,0.349,0.334,0.55,55,58.5,9.1,11.1,0.52,15.7,34.3,0.243
115,Harvard,28,18,10,0.643,2.3,-2.24,10,4,11,3,7,5,2012,1842,67.5,97.5,0.387,0.349,0.505,48.9,53.8,9.8,7.7,0.467,16.3,28.6,0.264
116,Hawaii,30,14,16,0.467,-6.19,-4.92,8,8,11,8,3,5,2042,2048,68.3,99.2,0.384,0.33,0.535,50.9,44.4,10,9.1,0.505,18.2,28.7,0.256
117,High Point,31,15,16,0.484,-9.06,-6.28,9,9,8,8,7,7,2133,2136,66.8,101.5,0.322,0.408,0.54,48.8,52.9,9.9,10,0.514,17.5,26.7,0.218
118,Hofstra,32,15,17,0.469,-2.35,-1.9,7,11,7,7,6,7,2473,2454,69,110.2,0.285,0.338,0.553,49.7,52.1,7.3,8.3,0.524,13.2,29.1,0.207
119,Holy Cross,32,15,17,0.469,-5.26,-3.51,9,9,9,5,6,12,1932,1988,61.5,100.6,0.304,0.467,0.56,57.2,65.1,7.7,10.7,0.533,22.3,32.3,0.217
120,Houston Baptist,31,17,14,0.548,-7.3,-4.44,12,6,13,1,4,12,2441,2398,72.9,106.1,0.363,0.362,0.56,45.9,52.4,9.5,7.9,0.523,16.3,27.1,0.267
121,Houston,32,21,11,0.656,12.2,3.42,12,6,12,4,6,5,2358,2077,65.8,98.3,0.369,0.386,0.515,49.5,51.4,7.2,8,0.472,17.8,30.6,0.266
122,Howard,34,10,24,0.294,-16.97,-7.97,5,11,6,6,2,16,2163,2433,68.4,104.6,0.36,0.368,0.526,50.6,57.9,10.1,8.4,0.492,15.6,33.3,0.251
123,Idaho State,31,5,26,0.161,-15.1,-3.37,3,15,4,7,1,16,2164,2486,70.2,113.3,0.334,0.4,0.587,55.6,51.6,9.4,9.7,0.56,16,31.6,0.24
124,Idaho,33,19,14,0.576,-5.34,-5.89,12,6,12,3,6,10,2412,2346,67.9,102.4,0.422,0.435,0.54,47.4,52.7,7.8,8.8,0.492,15.9,25,0.313
125,Illinois-Chicago,36,17,19,0.472,-5.95,-3.63,7,11,10,8,5,9,2749,2754,74,102.3,0.317,0.295,0.514,47.9,51.5,10.1,10.2,0.475,14.3,29.7,0.232
126,Illinois State,35,28,7,0.8,10.3,2.71,17,1,16,1,9,4,2418,2146,65.8,92.9,0.324,0.388,0.481,48.3,52.8,8.8,7.7,0.443,16.7,28.5,0.224
127,Illinois,35,20,15,0.571,10.54,9.25,8,10,14,5,3,7,2508,2417,68.9,99.9,0.298,0.367,0.529,48.8,45.6,7.7,7.5,0.495,16.4,26.2,0.217
128,Incarnate Word,29,12,17,0.414,-12.14,-5.62,7,11,10,5,2,12,2212,2320,73.3,108.7,0.38,0.271,0.546,54.3,47.4,9.4,10.5,0.507,14.6,32.2,0.276
129,Indiana State,31,11,20,0.355,-1.02,3.18,5,13,8,6,3,10,2170,2255,70.1,101,0.424,0.31,0.519,53.3,48.7,7.7,11.7,0.477,15.6,28.8,0.293
130,Indiana,34,18,16,0.529,14.63,8.16,7,11,14,4,2,8,2711,2491,69.5,103.1,0.368,0.342,0.525,44.9,47.3,8.9,11.1,0.487,13.8,28,0.259
131,Iona NCAA,35,22,13,0.629,1.08,-2.47,12,8,8,4,7,7,2813,2689,72.3,105.1,0.334,0.355,0.532,51.8,53,6.6,7.8,0.5,15.4,32,0.232
132,Iowa State NCAA,35,24,11,0.686,20.51,11.94,12,6,12,3,5,6,2829,2529,70.6,100.6,0.256,0.359,0.518,52.3,51.9,6.6,9.1,0.49,16.7,31.6,0.18
133,Iowa,34,19,15,0.559,10.01,7.54,10,8,15,5,3,7,2738,2654,72.8,104.5,0.275,0.368,0.535,49.9,60.1,10.4,8.8,0.51,16.4,32.2,0.188
134,IPFW,33,20,13,0.606,0.38,-3.19,8,8,14,3,6,9,2869,2602,75.1,103.4,0.313,0.42,0.558,46.7,54.4,8.3,6.6,0.524,16.7,23.3,0.234
135,IUPUI,32,14,18,0.438,-4.29,-1.62,7,9,8,4,5,13,2500,2517,72,108.4,0.414,0.344,0.577,50.6,49.9,8,10.6,0.534,16.7,28.1,0.313
136,Jackson State,32,14,18,0.438,-15.42,-11.55,10,8,10,4,4,13,2066,2142,65.9,100.8,0.488,0.353,0.543,48.5,53.9,7.6,8.6,0.493,18.3,27.7,0.351
137,Jacksonville State NCAA,35,20,15,0.571,-2.85,-3.24,9,7,5,5,10,9,2434,2378,65.3,103.3,0.339,0.366,0.524,47.3,49,9.1,9,0.486,14.4,27.8,0.245
138,Jacksonville,33,17,16,0.515,-10.21,-8.45,5,9,7,7,8,9,2557,2477,70.4,106.2,0.349,0.404,0.572,50.5,51.2,8,9.2,0.551,18.2,27.5,0.233
139,James Madison,33,10,23,0.303,-5.64,-1.83,7,11,6,9,3,13,2194,2299,65.8,104.7,0.384,0.428,0.55,47.5,53.9,9.2,8,0.513,15.8,25,0.276
140,Kansas State NCAA,35,21,14,0.6,14.8,10.48,8,10,11,5,5,6,2523,2372,67.5,100,0.334,0.34,0.533,50.8,55.5,9.3,9.5,0.496,19.1,32.3,0.244
