Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Team,Points Opponent,Opponent Pace,Opponent ORtg,Opponent FTr,Opponent 3PAr,Opponent TS%,Opponent TRB%,Opponent AST%,Opponent STL%,Opponent BLK%,Oppone t eFG%,Opponent TOV%,Opponent ORB%,Opponent Advanced FT/FGA
303,Tennessee,32,16,16,0.5,7.23,8.16,7,11,9,7,5,5,2025,2055,61.2,104.5,0.435,0.431,0.555,48.9,66.6,8.4,9.2,0.519,19.4,33.3,0.303
304,Texas A&M-Corpus Christi,34,20,14,0.588,-5.58,-6.43,13,5,10,4,8,8,2266,2192,64.2,100.1,0.456,0.356,0.52,50.5,53.7,8.8,7.5,0.476,17.9,33,0.315
305,Texas A&M,33,21,12,0.636,10.73,5.91,11,7,14,4,5,6,2236,2077,64.3,97.1,0.364,0.428,0.506,46.6,60.2,9.5,11.1,0.468,16.8,28.2,0.251
306,Texas-Arlington,31,16,15,0.516,-3.59,-2.76,10,10,9,5,7,9,2220,2206,70.2,100.9,0.413,0.403,0.518,49.7,53.8,9.4,11.5,0.472,16.9,32.8,0.294
307,Texas Christian,33,18,15,0.545,11.1,5.32,4,14,13,6,2,8,2249,2058,64.7,95.7,0.48,0.245,0.491,48.1,50.4,8.8,10.8,0.441,17,33.4,0.322
308,Texas-El Paso,33,22,11,0.667,4.89,-0.51,13,5,13,2,5,7,2282,2104,65.4,97.1,0.319,0.32,0.499,49.3,50.5,9.4,7.9,0.469,16.1,29.8,0.211
309,Texas-Rio Grande Valley,31,10,21,0.323,-14.46,-4.68,4,10,8,4,1,15,1927,2179,65,108.1,0.327,0.363,0.538,52.8,57.6,10.8,8.8,0.503,15.8,36.6,0.237
310,Texas-San Antonio,30,14,16,0.467,-3.33,-2.61,8,10,7,8,7,7,2120,2111,66.9,104.7,0.295,0.393,0.552,48.4,54.6,9.8,14.6,0.522,17.7,31.3,0.214
311,Texas Southern NCAA,35,22,13,0.629,-5.98,-6.09,16,2,9,1,10,11,2390,2386,64.5,103.5,0.331,0.283,0.52,50,47.7,9.9,10.4,0.493,15.8,34.6,0.216
312,Texas State,31,14,17,0.452,-5.25,-3.36,7,13,9,6,4,10,1905,1854,63.4,92.5,0.368,0.338,0.506,51.8,51.9,9.5,9,0.462,20.7,31.5,0.263
313,Texas Tech,32,13,19,0.406,3.77,7.2,3,15,13,6,0,10,1949,2059,63,101.3,0.371,0.384,0.525,49.3,52.8,11.5,11.3,0.492,17.2,32.6,0.251
314,Texas NCAA,34,20,14,0.588,16.16,9.07,8,10,13,5,4,7,2290,2049,62.9,94.7,0.348,0.308,0.46,44,50.6,9.9,8.7,0.421,12,28.6,0.231
315,Toledo,33,20,13,0.606,4.86,0.62,11,7,10,4,9,7,2483,2343,67.2,104.8,0.31,0.382,0.528,47.2,50.4,10.4,8.4,0.497,14,29.5,0.218
316,Towson,32,12,20,0.375,-7.02,-3.8,5,13,4,9,6,10,2034,2080,61.6,103.9,0.441,0.331,0.515,43.8,52,9.7,11.6,0.469,12.9,28.8,0.31
317,Troy,29,10,19,0.345,-8.72,-5.09,5,15,5,9,4,10,1946,2013,66.6,103.4,0.285,0.367,0.528,51.2,52.3,9.6,9.3,0.499,16.7,34.1,0.202
318,Tulane,31,15,16,0.484,-1.51,0.32,6,12,9,8,6,5,1973,1984,63.6,98.6,0.362,0.295,0.524,48.7,50.6,9.4,12.1,0.496,18,28.9,0.237
319,Tulsa,34,23,11,0.676,6.66,2.81,14,4,13,5,8,4,2188,2064,64.1,93.9,0.317,0.386,0.489,48.6,53,8.1,9.6,0.459,17.2,28.4,0.208
320,UCLA NCAA,36,22,14,0.611,12.07,8.27,11,7,16,1,2,8,2590,2453,67.3,100.5,0.323,0.385,0.518,47.4,58.4,9.3,8,0.485,15.6,28.6,0.225
321,Utah State,31,18,13,0.581,2.92,0.28,11,7,11,5,7,7,2064,1973,63,99.8,0.293,0.357,0.486,54.2,57.3,9.6,7.7,0.457,14.2,34,0.194
322,Utah Valley,30,11,19,0.367,-12.72,-4.87,5,9,8,5,3,13,1758,1923,62.5,102.6,0.355,0.346,0.527,50.2,51.6,10.9,11,0.489,15.5,29,0.253
323,Utah NCAA,35,26,9,0.743,20.98,7.42,13,5,16,1,6,5,2496,1999,62.6,90.9,0.337,0.293,0.47,46.3,43.6,8.9,9.9,0.43,16.1,27.9,0.23
324,Valparaiso NCAA,34,28,6,0.824,6.29,-2,13,3,15,1,8,4,2366,2021,63.8,92.8,0.327,0.382,0.485,44.9,56.3,10.5,9,0.446,16.6,26.9,0.23
325,Vanderbilt,35,21,14,0.6,11.89,6.22,9,9,15,4,5,8,2472,2252,63.5,100,0.341,0.328,0.499,48.6,49.2,10.3,9.1,0.462,15.3,32.6,0.236
326,Vermont,34,20,14,0.588,1.21,-5.52,12,4,13,4,7,10,2279,2012,64.3,91.4,0.399,0.295,0.481,48.8,47.6,10.5,10.4,0.431,17.4,28.2,0.282
327,Villanova NCAA,36,33,3,0.917,23.13,7.55,16,2,15,0,9,2,2754,2193,65,93.1,0.304,0.322,0.488,48.5,54,8.3,8.6,0.455,18.4,31.2,0.207
328,Virginia Commonwealth NCAA,36,26,10,0.722,12.79,6.1,12,6,12,4,8,4,2609,2368,66.4,96.7,0.378,0.351,0.53,50.8,56.8,8.6,9.6,0.495,20.5,30.6,0.262
329,VMI,30,11,19,0.367,-9.85,-3.92,7,11,6,7,4,9,2415,2428,77.5,102.7,0.418,0.247,0.549,51.7,46.6,10.1,12.9,0.515,18.6,33,0.286
330,Virginia Tech,33,11,22,0.333,1.29,5.32,2,16,9,9,0,11,2156,2289,64.1,107.5,0.338,0.389,0.535,54.8,56.7,8.1,13.1,0.508,15.8,36.6,0.226
331,Virginia NCAA,34,30,4,0.882,21.73,7.81,16,2,15,1,11,1,2224,1751,58.6,87.2,0.286,0.366,0.454,44,49.5,8.5,7.4,0.423,15.7,24.3,0.185
332,Wagner,30,10,20,0.333,-11.47,-4.99,8,10,8,5,2,15,2052,2206,67.9,106.6,0.529,0.344,0.572,47.9,56.9,10.1,11.5,0.532,18,30.1,0.366
333,Wake Forest,32,13,19,0.406,4.62,7.68,5,13,11,7,2,10,2209,2307,68.6,103.9,0.352,0.352,0.539,47.8,52,11.7,10.6,0.509,15,26.4,0.239
334,Washington State,31,13,18,0.419,0.14,6.08,7,11,8,6,3,9,2189,2373,67.6,111.8,0.341,0.296,0.552,52,48.2,8.8,8.6,0.524,12.2,30.3,0.236
335,Washington,31,16,15,0.516,5.57,4.83,5,13,8,7,3,7,2128,2105,66.2,102.2,0.317,0.295,0.504,50.4,47.8,9.1,8.2,0.47,14.2,33.2,0.219
336,Weber State,30,13,17,0.433,-7.29,-3.5,8,10,8,6,4,9,2010,2041,64.8,104.2,0.307,0.278,0.53,49.9,47.3,9.9,9.5,0.498,14.8,29.8,0.219
337,West Virginia NCAA,35,25,10,0.714,15.12,9.29,11,7,12,3,5,5,2542,2338,68.7,96.5,0.555,0.322,0.569,47.9,53.3,8.3,10.3,0.527,24.8,30.9,0.383
338,Western Carolina,32,15,17,0.469,-5.83,-3.56,9,9,7,5,6,10,2251,2284,66.8,104.8,0.51,0.407,0.547,49.8,55.5,11.3,9.2,0.497,18.1,33.9,0.365
339,Western Illinois,28,8,20,0.286,-13.81,-2.93,3,13,8,6,0,13,1747,1983,67.8,103.9,0.366,0.328,0.535,53.7,50.6,9,9.2,0.5,15,27.8,0.257
340,Western Kentucky,32,20,12,0.625,1.12,-0.44,12,6,13,3,5,8,2285,2149,67.9,97.8,0.334,0.352,0.51,48.6,51.2,9.3,9.5,0.479,16.9,29.1,0.226
341,Western Michigan,34,20,14,0.588,0.25,0.19,10,8,13,3,5,9,2401,2354,64.8,105.6,0.357,0.409,0.551,49.6,53.1,9.1,8.8,0.516,16.7,30.2,0.257
342,Wichita State NCAA,35,30,5,0.857,15.56,3.68,17,1,15,0,10,2,2460,2008,61.9,92,0.368,0.309,0.497,46.4,45.4,6.5,9.2,0.456,18.7,26.8,0.255
343,William & Mary,33,20,13,0.606,2.82,-1.15,12,6,12,2,6,10,2414,2208,64.6,102.8,0.305,0.381,0.525,50.3,55.1,10.6,8,0.495,15.2,29,0.211
344,Winthrop,32,19,13,0.594,-3.9,-7.38,12,6,11,3,6,9,2356,2159,67.4,98.6,0.378,0.337,0.504,50.4,45.4,8.9,10,0.463,16.8,32.1,0.263
345,Wisconsin NCAA,40,36,4,0.9,24.61,10.29,16,2,15,1,10,2,2900,2327,59.5,97.2,0.224,0.257,0.503,45.3,40,6.8,6.3,0.477,14,23.7,0.159
346,Wofford NCAA,35,28,7,0.8,2.56,-2.98,16,2,13,1,10,5,2331,2089,62.7,95.2,0.357,0.317,0.507,48.9,43,8.4,9.5,0.467,17.8,26.9,0.251
347,Wright State,31,11,20,0.355,-6.41,-1.14,3,13,4,8,6,10,1989,2107,64.4,104.6,0.404,0.33,0.552,54,54.4,8.5,10.2,0.509,17.5,30.6,0.297
348,Wyoming NCAA,35,25,10,0.714,3.81,-0.04,11,7,17,2,5,7,2151,1974,58.3,94.6,0.26,0.355,0.495,50.1,49,9,8.1,0.465,15.9,26.4,0.183
349,Xavier NCAA,37,23,14,0.622,15.42,9.48,9,9,13,3,5,7,2712,2492,65.6,100.9,0.333,0.371,0.529,47.2,54.7,9.9,9.9,0.5,16.4,27.3,0.226
350,Yale,33,22,10,0.688,3.53,-0.87,11,4,9,3,11,6,2164,1931,62.3,95.4,0.32,0.329,0.499,45.6,49.1,9.7,9.3,0.467,16.7,27.7,0.217
351,Youngstown State,32,11,21,0.344,-7.63,-1.73,2,14,6,9,3,12,2287,2394,68.2,108.8,0.359,0.35,0.55,52.6,55.8,8.9,9.5,0.518,15.3,33.4,0.252
