Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Team,Points Opponent,MP,Opponent Totals FG,Opponent Totals FGA,Opponent Totals FG%,Opponent Totals 3P,Opponent Totals 3PA,Opponent Totals 3P%,Opponent Totals FT,Opponent Totals FTA,Opponent Totals FT%,Opponent Totals ORB,Opponent Totals TRB,Opponent Totals AST,Opponent Totals STL,Opponent Totals BLK,Opponent Totals TOV,Opponent Totals PF
1,Abilene Christian,29,13,16,0.448,-11.86,-7.1,7,11,9,5,4,11,2009,2073,1180,708,1557,0.455,210,581,0.361,447,671,0.666,294,1017,393,178,88,427,502
2,Air Force,33,12,21,0.364,-3.06,1,4,14,11,7,0,11,2411,2477,1335,861,1883,0.457,320,880,0.364,435,613,0.71,275,1135,514,199,113,407,684
3,Akron,36,27,9,0.75,3.59,-1.21,14,4,13,2,7,6,2772,2550,1440,913,2058,0.444,249,683,0.365,475,673,0.706,347,1188,411,210,72,415,671
4,Alabama A&M,29,2,27,0.069,-26.99,-11.09,2,16,1,9,1,18,1794,2255,1175,821,1724,0.476,214,588,0.364,399,586,0.681,356,1055,410,199,100,268,532
5,Alabama-Birmingham,33,17,16,0.515,-1.17,-1.83,9,9,11,5,4,8,2369,2316,1330,836,1941,0.431,250,731,0.342,394,569,0.692,339,1080,420,219,100,381,593
6,Alabama State,31,8,23,0.258,-19.75,-10.75,6,12,6,5,1,17,2042,2305,1260,798,1799,0.444,196,572,0.343,513,755,0.679,363,1170,392,230,93,394,568
7,Alabama,34,19,15,0.559,11.29,7.47,10,8,11,6,5,6,2330,2200,1380,748,1848,0.405,209,628,0.333,495,738,0.671,329,1138,325,215,100,460,662
8,Albany (NY),35,21,14,0.6,-0.16,-4.69,10,6,11,5,9,8,2496,2301,1400,808,1873,0.431,276,809,0.341,409,578,0.708,262,1008,442,197,144,399,630
9,Alcorn State,32,18,14,0.563,-12.33,-10.95,13,5,11,2,6,11,2221,2175,1285,768,1838,0.418,181,592,0.306,458,707,0.648,370,1173,424,220,82,418,555
10,American,30,8,22,0.267,-10.3,-3.5,5,13,4,11,4,11,1845,2049,1205,716,1528,0.469,172,468,0.368,445,632,0.704,258,996,384,198,84,397,493
11,Appalachian State,30,9,21,0.3,-8.67,-1.6,4,14,8,6,1,14,2208,2279,1205,788,1718,0.459,194,516,0.376,509,742,0.686,284,1097,394,180,105,382,621
12,Arizona State,33,15,18,0.455,4.02,7.11,7,11,9,7,4,6,2593,2695,1325,978,2040,0.479,304,835,0.364,435,611,0.712,366,1310,621,171,130,440,604
13,Arizona NCAA,37,32,5,0.865,18.25,7.63,16,2,15,1,9,1,2833,2440,1480,893,2121,0.421,239,772,0.31,415,607,0.684,339,1107,477,175,109,432,729
14,Arkansas-Little Rock,32,15,17,0.469,-6.07,-3.8,6,12,9,6,4,9,2188,2185,1290,739,1661,0.445,228,633,0.36,479,668,0.717,280,1034,404,172,79,430,528
15,Arkansas-Pine Bluff,32,7,25,0.219,-22.81,-10.28,6,12,6,6,1,19,1977,2320,1305,731,1631,0.448,207,651,0.318,651,920,0.708,364,1153,432,305,93,535,528
16,Arkansas State,32,20,12,0.625,0.87,-2.1,11,7,12,1,7,9,2346,2211,1285,760,1755,0.433,195,617,0.316,496,724,0.685,306,1074,411,181,125,422,656
17,Arkansas NCAA,36,26,10,0.722,14.04,8.6,12,6,15,3,6,5,2855,2659,1440,901,2159,0.417,263,792,0.332,594,843,0.705,460,1322,454,187,118,477,670
18,Army,32,13,19,0.406,-5.84,-4.1,6,12,9,8,4,10,2324,2340,1295,839,1907,0.44,220,666,0.33,442,641,0.69,275,1128,434,239,123,403,548
19,Auburn,32,18,14,0.563,8.17,7.33,7,11,10,5,6,6,2573,2546,1290,861,1972,0.437,273,765,0.357,551,765,0.72,398,1248,435,197,93,482,725
20,Austin Peay,30,11,19,0.367,-11,-2.32,7,9,5,8,4,11,2331,2515,1215,922,1877,0.491,264,714,0.37,407,558,0.729,364,1122,473,167,85,407,616
21,Ball State,34,21,13,0.618,-1.45,-3.57,11,7,11,5,7,7,2677,2567,1380,885,2097,0.422,267,751,0.356,530,738,0.718,372,1222,415,247,112,435,661
22,Baylor NCAA,35,27,8,0.771,19.75,11.87,12,6,15,2,6,4,2550,2228,1400,794,1960,0.405,222,687,0.323,418,586,0.713,351,1023,462,189,126,397,645
23,Belmont,30,23,7,0.767,4.28,-1.69,15,1,12,1,11,4,2302,2078,1205,742,1739,0.427,178,559,0.318,416,558,0.746,263,973,340,171,87,340,534
24,Bethune-Cookman,32,10,22,0.313,-19.44,-11.21,6,10,7,7,2,13,2275,2490,1315,886,1889,0.469,225,672,0.335,493,733,0.673,398,1279,528,186,123,467,523
25,Binghamton,32,12,20,0.375,-11.99,-5.79,3,13,7,7,4,13,2175,2270,1285,815,1813,0.45,248,687,0.361,392,574,0.683,294,1117,448,186,97,373,542
26,Boise State,32,20,12,0.625,5.52,2.72,12,6,11,3,8,7,2404,2278,1280,775,1815,0.427,183,544,0.336,545,748,0.729,296,1081,378,192,147,378,650
27,Boston College,32,9,23,0.281,2.2,8.08,2,16,8,10,0,9,2320,2508,1280,864,1840,0.47,229,647,0.354,551,729,0.756,263,1109,501,246,120,398,527
28,Boston University,32,18,14,0.563,-2.43,-3.66,12,6,11,5,6,9,2339,2264,1300,769,1809,0.425,274,755,0.363,452,661,0.684,321,1138,441,225,104,473,556
29,Bowling Green State,32,13,19,0.406,-6,-2,7,11,10,7,3,12,2355,2453,1295,879,1893,0.464,231,675,0.342,464,638,0.727,311,1210,420,201,126,472,663
30,Bradley,33,13,20,0.394,-2.84,2.94,7,11,8,7,3,10,2163,2333,1325,775,1854,0.418,248,725,0.342,535,748,0.715,359,1195,453,258,103,432,652
31,Brigham Young,34,22,12,0.647,8.22,1.87,12,6,14,4,5,4,2741,2525,1360,906,2175,0.417,274,846,0.324,437,677,0.645,349,1230,484,237,101,416,726
32,Brown,30,13,17,0.433,-8.55,-4.08,4,10,9,7,4,8,2275,2338,1200,832,1669,0.499,229,616,0.372,445,623,0.714,277,1017,444,209,127,474,660
33,Bryant,32,12,20,0.375,-9.69,-5.43,9,9,9,5,2,15,2373,2478,1315,860,1904,0.452,234,704,0.332,524,713,0.735,351,1175,432,197,118,407,599
34,Bucknell NCAA,35,26,9,0.743,5.89,-2.48,15,3,14,2,9,6,2669,2376,1400,860,2017,0.426,216,631,0.342,440,667,0.66,347,1176,424,246,105,487,673
35,Buffalo,32,17,15,0.531,0.92,-1.01,11,7,8,4,8,7,2486,2375,1285,794,1914,0.415,233,671,0.347,554,812,0.682,362,1144,405,204,106,410,630
36,Butler NCAA,34,25,9,0.735,17.7,10.23,12,6,13,3,7,4,2595,2341,1370,818,1837,0.445,231,693,0.333,474,680,0.697,293,1065,366,171,87,451,653
37,Cal Poly,31,11,20,0.355,-10.71,-4.22,6,10,6,6,5,11,2082,2242,1250,791,1696,0.466,184,471,0.391,476,664,0.717,300,1155,397,147,94,372,553
38,Cal State Bakersfield,35,25,10,0.714,3.21,-1.94,12,2,12,1,11,6,2502,2235,1425,696,1874,0.371,242,762,0.318,601,870,0.691,389,1232,385,213,118,584,686
39,Cal State Fullerton,32,17,15,0.531,-7.55,-6.85,10,6,12,4,4,8,2351,2280,1315,771,1823,0.423,212,639,0.332,526,729,0.722,297,1094,384,196,105,457,642
40,Cal State Northridge,30,11,19,0.367,-8.34,-4.13,7,9,7,7,4,8,2341,2440,1200,842,1832,0.46,209,541,0.386,547,760,0.72,340,1097,413,182,105,391,645
