Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Team,Points Opponent,MP,Opponent Totals FG,Opponent Totals FGA,Opponent Totals FG%,Opponent Totals 3P,Opponent Totals 3PA,Opponent Totals 3P%,Opponent Totals FT,Opponent Totals FTA,Opponent Totals FT%,Opponent Totals ORB,Opponent Totals TRB,Opponent Totals AST,Opponent Totals STL,Opponent Totals BLK,Opponent Totals TOV,Opponent Totals PF
335,Washington,31,16,15,0.516,5.57,4.83,5,13,8,7,3,7,2128,2105,1245,765,1816,0.421,177,535,0.331,398,575,0.692,375,1101,366,187,96,346,553
336,Weber State,30,13,17,0.433,-7.29,-3.5,8,10,8,6,4,9,2010,2041,1210,753,1680,0.448,167,467,0.358,368,516,0.713,303,994,356,194,87,334,579
337,West Virginia NCAA,35,25,10,0.714,15.12,9.29,11,7,12,3,5,5,2542,2338,1410,762,1626,0.469,191,523,0.365,623,903,0.69,312,1169,406,200,146,678,783
338,Western Carolina,32,15,17,0.469,-5.83,-3.56,9,9,7,5,6,10,2251,2284,1305,714,1681,0.425,243,685,0.355,613,858,0.714,374,1120,396,246,116,462,616
339,Western Illinois,28,8,20,0.286,-13.81,-2.93,3,13,8,6,0,13,1747,1983,1125,698,1578,0.442,181,518,0.349,406,577,0.704,269,1054,353,172,93,326,465
340,Western Kentucky,32,20,12,0.625,1.12,-0.44,12,6,13,3,5,8,2285,2149,1295,765,1817,0.421,209,639,0.327,410,606,0.677,339,1126,392,204,108,429,605
341,Western Michigan,34,20,14,0.588,0.25,0.19,10,8,13,3,5,9,2401,2354,1375,810,1827,0.443,264,747,0.353,470,653,0.72,333,1090,430,202,101,427,679
342,Wichita State NCAA,35,30,5,0.857,15.56,3.68,17,1,15,0,10,2,2460,2008,1410,691,1721,0.402,187,531,0.352,439,634,0.692,304,1077,314,142,116,464,638
343,William & Mary,33,20,13,0.606,2.82,-1.15,12,6,12,2,6,10,2414,2208,1330,789,1838,0.429,243,700,0.347,387,561,0.69,334,1076,435,228,79,376,564
344,Winthrop,32,19,13,0.594,-3.9,-7.38,12,6,11,3,6,9,2356,2159,1300,742,1817,0.408,198,612,0.324,477,686,0.695,376,1143,337,194,111,434,581
345,Wisconsin NCAA,40,36,4,0.9,24.61,10.29,16,2,15,1,10,2,2900,2327,1610,896,2092,0.428,202,538,0.375,333,469,0.71,297,1106,358,163,84,378,723
346,Wofford NCAA,35,28,7,0.8,2.56,-2.98,16,2,13,1,10,5,2331,2089,1400,737,1763,0.418,173,559,0.309,442,629,0.703,300,1089,317,184,114,445,651
347,Wright State,31,11,20,0.355,-6.41,-1.14,3,13,4,8,6,10,1989,2107,1250,722,1602,0.451,187,528,0.354,476,648,0.735,295,1060,393,172,107,404,498
348,Wyoming NCAA,35,25,10,0.714,3.81,-0.04,11,7,17,2,5,7,2151,1974,1430,715,1775,0.403,219,630,0.348,325,462,0.703,298,1052,350,187,79,377,645
349,Xavier NCAA,37,23,14,0.622,15.42,9.48,9,9,13,3,5,7,2712,2492,1505,886,2035,0.435,261,756,0.345,459,678,0.677,345,1145,485,245,133,464,740
350,Yale,33,22,10,0.688,3.53,-0.87,11,4,9,3,11,6,2164,1931,1300,698,1679,0.416,171,552,0.31,364,538,0.677,298,956,343,196,100,389,625
351,Youngstown State,32,11,21,0.344,-7.63,-1.73,2,14,6,9,3,12,2287,2394,1290,843,1858,0.454,240,651,0.369,468,667,0.702,371,1173,470,196,117,392,574
